Depth;qc;fs
13,27;6,7;0,091
13,32;5,975;0,074
13,37;4,849;0,059
13,42;4,249;0,054
13,47;2,748;0,05
13,52;3,273;0,066
13,57;7,572;0,118
13,62;14,747;0,191
13,67;18,597;0,253
13,72;21,696;0,323
13,77;23,546;0,372
13,82;24,745;0,412
13,87;25,695;0,447
13,92;26,694;0,484
13,97;27,694;0,517
14,02;28,218;0,54
14,07;28,618;0,553
14,12;28,643;0,56
14,17;28,642;0,563
14,22;27,967;0,548
14,27;27,166;0,532
14,32;26,391;0,516
14,37;28,09;0,557
14,42;28,765;0,565
14,47;28,239;0,552
14,52;25,939;0,496
14,57;22,763;0,419
14,62;11,163;0,163
14,67;21,887;0,337
14,72;22,112;0,347
14,77;22,986;0,361
14,82;21,886;0,331
14,87;20,26;0,294
14,92;18,335;0,253
14,97;17,085;0,222
15,02;16,509;0,205
15,07;16,659;0,203
15,12;18,083;0,229
15,17;16,583;0,186
15,22;17,257;0,204
15,27;23,482;0,327
15,32;24,456;0,34
15,37;22,631;0,309
15,42;19,43;0,247
15,47;15,18;0,148
15,52;12,554;0,102
15,57;11,429;0,084
15,62;11,353;0,08
15,67;12,603;0,066
15,72;14,803;0,089
15,77;15,677;0,089
15,82;16,727;0,114
15,87;18,751;0,149
15,92;20,126;0,179
15,97;20,225;0,195
16,02;22,45;0,255
16,07;24,674;0,311
16,12;24,674;0,318
16,17;23,448;0,294
16,22;21,248;0,241
16,27;19,397;0,201
16,32;18,947;0,186
16,37;19,221;0,185
16,42;20,171;0,206
16,47;20,871;0,231
16,52;22,42;0,28
16,57;23,42;0,309
16,62;22,019;0,282
16,67;20,394;0,19
16,72;18,493;0,15
16,77;16,143;0,114
16,82;13,792;0,113
16,87;12,642;0,112
16,92;12,216;0,095
16,97;12,366;0,088
17,02;13,215;0,087
17,07;14,565;0,096
17,12;12,839;0,084
17,17;10,389;0,08
17,22;9,263;0,073
17,27;8,638;0,065
17,32;8,437;0,061
17,37;9,037;0,06
17,42;11,062;0,064
17,47;12,286;0,065
17,52;13,236;0,074
17,57;12,835;0,071
17,62;12,11;0,074
17,67;10,934;0,071
17,72;11,734;0,074
17,77;12,658;0,075
17,82;12,133;0,075
17,87;11,207;0,075
17,92;10,957;0,074
17,97;11,281;0,071
18,02;11,656;0,07
18,07;11,781;0,072
18,12;12,73;0,079
18,17;14,23;0,092
18,22;15,279;0,115
18,27;15,529;0,12
18,32;15,478;0,123
